month,item,category,item_en
8,豆角,vege,Beans
8,冬瓜,vege,Winter melon
8,大葱,vege,Allium fistulosum
8,大蒜,vege,garlic
8,黄瓜,vege,Cucumber
8,红薯,vege,Sweet potato
8,南瓜,vege,Pumpkin
8,茄子,vege,Eggplant
8,圆白菜,vege,cabbage
8,板栗,nut,chestnuts
8,巴旦木,nut,Badanmu
8,花生,nut,Peanut
8,核桃,nut,Walnuts
8,葵花子,nut,sunflower seeds
8,开心果,nut,Pistachio
8,夏威夷果,nut,Macadamia
8,榛子,nut,hazelnut
9,苹果,fruit,Apple
9,百香果,fruit,Passiflora edulis
9,菇娘,fruit,Mushroom
9,红提,fruit,Red
9,黄桃,fruit,Yellow peach
9,海棠果,fruit,Jellyfish
9,火龙果,fruit,火龙果
9,哈密瓜,fruit,Cantaloupe
9,龙眼,fruit,Dimocarpus longan
9,蓝莓,fruit,Blueberry|blueberries
9,李子,fruit,Prunus salicina
9,蜜柑,fruit,Mandarin
9,猕猴桃,fruit,Kiwi
9,木瓜,fruit,papaya
9,芒果,fruit,Mango
9,葡萄,fruit,Grape
9,蟠桃,fruit,Peach
9,青提,fruit,Green
9,蛇果,fruit,Snake fruit
9,沙果,fruit,Shaguo
9,柿子,fruit,persimmon
9,山竹,fruit,Purple mangosteen
9,石榴,fruit,pomegranate
9,无花果,fruit,fig
9,西柚,fruit,grapefruit
9,香梨,fruit,Pear
9,梨,fruit,Pear
9,西瓜,fruit,watermelon
9,杨桃,fruit,Carambola
9,枣,fruit,Jujube
9,人参果,fruit,Ginseng fruit
9,释迦果,fruit,Sakyamuni
9,菠菜,vege,baby spinach
9,菜花,vege,cauliflower
9,豆角,vege,Beans
9,冬瓜,vege,Winter melon
9,大辣椒,vege,Big chili
9,大蒜,vege,garlic
9,红薯,vege,Sweet potato
9,姜,vege,Ginger
9,南瓜,vege,Pumpkin
9,圆白菜,vege,cabbage
9,油菜,vege,Canola
9,板栗,nut,chestnuts
9,白果,nut,Ginkgo biloba
9,巴旦木,nut,Badanmu
9,榧子,nut,Scorpion
9,花生,nut,Peanut
9,核桃,nut,Walnuts
9,葵花子,nut,sunflower seeds
9,开心果,nut,Pistachio
9,松子,nut,Pine nut
9,夏威夷果,nut,Macadamia
9,榛子,nut,hazelnut
10,苹果,fruit,Apple
10,菠萝,fruit,Pinapple
10,百香果,fruit,Passiflora edulis
10,橄榄,fruit,olive
10,菇娘,fruit,Mushroom
10,红提,fruit,Red
10,海棠果,fruit,Jellyfish
10,火龙果,fruit,火龙果
10,金橘,fruit,Kumquat
10,橘子,fruit,Tangerine
10,蜜柑,fruit,Mandarin
10,猕猴桃,fruit,Kiwi
10,木瓜,fruit,papaya
10,葡萄,fruit,Grape
10,脐橙,fruit,Navel orange
10,蛇果,fruit,Snake fruit
10,柿子,fruit,persimmon
10,山楂,fruit,Hawthorn
10,石榴,fruit,pomegranate
10,无花果,fruit,fig
10,西柚,fruit,grapefruit
10,香梨,fruit,Pear
10,梨,fruit,Pear
10,香蕉,fruit,Bananas
10,柚子,fruit,grapefruit
10,枣,fruit,Jujube
10,神秘果,fruit,Mysterious fruit
10,人参果,fruit,Ginseng fruit
10,释迦果,fruit,Sakyamuni
10,白菜,vege,White Cabbage
10,菠菜,vege,baby spinach
10,百合,vege,lily
10,菜花,vege,cauliflower
10,豆角,vege,Beans
10,冬瓜,vege,Winter melon
10,大辣椒,vege,Big chili
10,大蒜,vege,garlic
10,胡萝卜,vege,Carrot
10,红薯,vege,Sweet potato
10,姜,vege,Ginger
10,木耳,vege,Fungus
10,南瓜,vege,Pumpkin
10,土豆,vege,Tudou
10,西兰花,vege,Broccoli
10,圆白菜,vege,cabbage
10,油菜,vege,Canola
10,板栗,nut,chestnuts
10,碧根果,nut,Pecans
10,白果,nut,Ginkgo biloba
10,榧子,nut,Scorpion
10,花生,nut,Peanut
10,核桃,nut,Walnuts
10,南瓜子,nut,pumpkin seeds
10,开心果,nut,Pistachio
10,松子,nut,Pine nut
10,夏威夷果,nut,Macadamia
10,榛子,nut,hazelnut
11,苹果,fruit,Apple
11,菠萝,fruit,Pinapple
11,橄榄,fruit,olive
11,甘蔗,fruit,Sugarcane
11,菇娘,fruit,Mushroom
11,海棠果,fruit,Jellyfish
11,火龙果,fruit,火龙果
11,金橘,fruit,Kumquat
11,罗汉果,fruit,Siraitia grosvenorii
11,橘子,fruit,Tangerine
11,脐橙,fruit,Navel orange
11,砂糖橘,fruit,Sugar orange
11,蛇果,fruit,Snake fruit
11,山楂,fruit,Hawthorn
11,香蕉,fruit,Bananas
11,柚子,fruit,grapefruit
11,枣,fruit,Jujube
11,人参果,fruit,Ginseng fruit
11,释迦果,fruit,Sakyamuni
11,白菜,vege,White Cabbage
11,菠菜,vege,baby spinach
11,百合,vege,lily
11,胡萝卜,vege,Carrot
11,红薯,vege,Sweet potato
11,姜,vege,Ginger
11,木耳,vege,Fungus
11,土豆,vege,Tudou
11,西兰花,vege,Broccoli
11,圆白菜,vege,cabbage
11,碧根果,nut,Pecans
11,榧子,nut,Scorpion
11,南瓜子,nut,pumpkin seeds
12,菠萝,fruit,Pinapple
12,橄榄,fruit,olive
12,甘蔗,fruit,Sugarcane
12,罗汉果,fruit,Siraitia grosvenorii
12,橘子,fruit,Tangerine
12,砂糖橘,fruit,Sugar orange
12,香蕉,fruit,Bananas
12,菠菜,vege,baby spinach
12,胡萝卜,vege,Carrot
12,红薯,vege,Sweet potato
12,土豆,vege,Tudou
