month,item,category,item_en
8,南瓜,vege,Pumpkin
8,茄子,vege,Eggplant
8,圆白菜,vege,Cabbage
8,板栗,nut,Chestnuts
8,巴旦木,nut,Badanmu
8,花生,nut,Peanut
8,核桃,nut,Walnuts
8,葵花子,nut,Sunflower seeds
8,开心果,nut,Pistachio
8,夏威夷果,nut,Macadamia
8,榛子,nut,Hazelnut
9,苹果,fruit,Apple
9,百香果,fruit,Passion fruit
9,菇娘,fruit,Mushroom
9,红提,fruit,Red
9,黄桃,fruit,Yellow peach
9,海棠果,fruit,Crab apple
9,火龙果,fruit,Pitaya
9,哈密瓜,fruit,Hami melon
9,龙眼,fruit,Longan
9,蓝莓,fruit,Blueberry
9,李子,fruit,Plum
9,蜜柑,fruit,Mandarin orange
9,猕猴桃,fruit,Kiwi
9,木瓜,fruit,Papaya
9,芒果,fruit,Mango
9,葡萄,fruit,Grape
9,蟠桃,fruit,Flat peach
9,青提,fruit,Green grape
9,蛇果,fruit,Red delicious apple
9,沙果,fruit,Chinese pear-leaved crab-apple
9,柿子,fruit,Persimmon
9,山竹,fruit,Mangosteen
9,石榴,fruit,Pomegranate
9,无花果,fruit,Fig
9,西柚,fruit,Grapefruit
9,香梨,fruit,Bergamot pear
9,梨,fruit,Pear
9,西瓜,fruit,Watermelon
9,杨桃,fruit,Carambola
9,枣,fruit,Date
9,人参果,fruit,Ginseng fruit
9,释迦果,fruit,Custard apple
9,菠菜,vege,Spinach
9,菜花,vege,Cauliflower
9,豆角,vege,Beans
9,冬瓜,vege,Chinese watermelon
9,大辣椒,vege,Big chili
9,大蒜,vege,Garlic
9,红薯,vege,Sweet potato
9,姜,vege,Ginger
9,南瓜,vege,Pumpkin
9,圆白菜,vege,Cabbage
9,油菜,vege,Rape
9,板栗,nut,Chestnuts
9,白果,nut,Gingko
9,巴旦木,nut,Badanmu
9,榧子,nut,Chinese torreya
9,花生,nut,Peanut
9,核桃,nut,Walnuts
9,葵花子,nut,Sunflower seeds
9,开心果,nut,Pistachio
9,松子,nut,Pine nut
9,夏威夷果,nut,Macadamia
9,榛子,nut,Hazelnut
10,苹果,fruit,Apple
10,菠萝,fruit,Pinapple
10,百香果,fruit,Passion fruit
10,橄榄,fruit,Olive
10,菇娘,fruit,Mushroom
10,红提,fruit,Red
10,海棠果,fruit,Crab apple
10,火龙果,fruit,Pitaya
10,金橘,fruit,Kumquat
10,橘子,fruit,Tangerine
10,蜜柑,fruit,Mandarin orange
10,猕猴桃,fruit,Kiwi
10,木瓜,fruit,Papaya
10,葡萄,fruit,Grape
10,脐橙,fruit,Navel orange
10,蛇果,fruit,Red delicious apple
10,柿子,fruit,Persimmon
10,山楂,fruit,Hawthorn
10,石榴,fruit,Pomegranate
10,无花果,fruit,Fig
10,西柚,fruit,Grapefruit
10,香梨,fruit,Bergamot pear
10,梨,fruit,Pear
10,香蕉,fruit,Bananas
10,柚子,fruit,Grapefruit
10,枣,fruit,Date
10,神秘果,fruit,Miracle fruit
10,人参果,fruit,Ginseng fruit
10,释迦果,fruit,Custard apple
10,白菜,vege,Chinese cabbage
10,菠菜,vege,Spinach
10,百合,vege,Lily
10,菜花,vege,Cauliflower
10,豆角,vege,Beans
10,冬瓜,vege,Chinese watermelon
10,大辣椒,vege,Big chili
10,大蒜,vege,Garlic
10,胡萝卜,vege,Carrot
10,红薯,vege,Sweet potato
10,姜,vege,Ginger
10,木耳,vege,Agaric
10,南瓜,vege,Pumpkin
10,土豆,vege,Potato
10,西兰花,vege,Broccoli
10,圆白菜,vege,Cabbage
10,油菜,vege,Rape
10,板栗,nut,Chestnuts
10,碧根果,nut,Pecans
10,白果,nut,Gingko
10,榧子,nut,Chinese torreya
10,花生,nut,Peanut
10,核桃,nut,Walnuts
10,南瓜子,nut,Pumpkin seeds
10,开心果,nut,Pistachio
10,松子,nut,Pine nut
10,夏威夷果,nut,Macadamia
10,榛子,nut,Hazelnut
11,苹果,fruit,Apple
11,菠萝,fruit,Pinapple
11,橄榄,fruit,Olive
11,甘蔗,fruit,Sugarcane
11,菇娘,fruit,Mushroom
11,海棠果,fruit,Crab apple
11,火龙果,fruit,Pitaya
11,金橘,fruit,Kumquat
11,罗汉果,fruit,Siraitia grosvenorii
11,橘子,fruit,Tangerine
11,脐橙,fruit,Navel orange
11,砂糖橘,fruit,Sugar orange
11,蛇果,fruit,Red delicious apple
11,山楂,fruit,Hawthorn
11,香蕉,fruit,Bananas
11,柚子,fruit,Grapefruit
11,枣,fruit,Date
11,人参果,fruit,Ginseng fruit
11,释迦果,fruit,Custard apple
11,白菜,vege,Chinese cabbage
11,菠菜,vege,Spinach
11,百合,vege,Lily
11,胡萝卜,vege,Carrot
11,红薯,vege,Sweet potato
11,姜,vege,Ginger
11,木耳,vege,Agaric
11,土豆,vege,Potato
11,西兰花,vege,Broccoli
11,圆白菜,vege,Cabbage
11,碧根果,nut,Pecans
11,榧子,nut,Chinese torreya
11,南瓜子,nut,Pumpkin seeds
12,菠萝,fruit,Pinapple
12,橄榄,fruit,Olive
12,甘蔗,fruit,Sugarcane
12,罗汉果,fruit,Siraitia grosvenorii
12,橘子,fruit,Tangerine
12,砂糖橘,fruit,Sugar orange
12,香蕉,fruit,Bananas
12,菠菜,vege,Spinach
12,胡萝卜,vege,Carrot
12,红薯,vege,Sweet potato
12,土豆,vege,Potato
